Sample	Replicate	Species	Treatment	TimePoint	Time	PLUG_ID	Read1	Read2
Mcapitata_ATAC_TP1	Mcapitata_ATAC_TP1_1037	Mcapitata	ATAC	1	0	1037	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1037_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1037_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP1	Mcapitata_ATAC_TP1_1600	Mcapitata	ATAC	1	0	1600	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1600_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1600_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP1	Mcapitata_ATAC_TP1_1652	Mcapitata	ATAC	1	0	1652	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1652_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP1_1652_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP3	Mcapitata_ATAC_TP3_1101	Mcapitata	ATAC	3	0.25	1101	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1101_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1101_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP3	Mcapitata_ATAC_TP3_1548	Mcapitata	ATAC	3	0.25	1548	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1548_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1548_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP3	Mcapitata_ATAC_TP3_1628	Mcapitata	ATAC	3	0.25	1628	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1628_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP3_1628_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP4	Mcapitata_ATAC_TP4_1108	Mcapitata	ATAC	4	0.5	1108	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1108_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1108_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP4	Mcapitata_ATAC_TP4_1609	Mcapitata	ATAC	4	0.5	1609	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1609_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1609_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP4	Mcapitata_ATAC_TP4_1651	Mcapitata	ATAC	4	0.5	1651	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1651_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP4_1651_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP5	Mcapitata_ATAC_TP5_1196	Mcapitata	ATAC	5	1.25	1196	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP5_1196_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP5_1196_R2_TrimmingRound2.fastq.gz
Mcapitata_ATAC_TP5	Mcapitata_ATAC_TP5_1610	Mcapitata	ATAC	5	1.25	1610	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP5_1610_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Mcapitata_ATAC_TP5_1610_R2_TrimmingRound2.fastq.gz
