Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	221	221
OG0000001	141	141
OG0000002	132	132
OG0000003	132	132
OG0000004	130	130
OG0000005	127	127
OG0000006	124	124
OG0000007	115	115
OG0000008	114	114
OG0000009	112	112
OG0000010	103	103
OG0000011	95	95
OG0000012	94	94
OG0000013	90	90
OG0000014	90	90
OG0000015	87	87
OG0000016	84	84
OG0000017	82	82
OG0000018	79	79
OG0000019	80	80
OG0000020	78	78
OG0000021	77	77
OG0000022	76	76
OG0000023	73	73
OG0000024	74	74
OG0000025	72	72
OG0000026	72	72
OG0000027	70	70
OG0000028	69	69
OG0000029	69	69
OG0000030	69	69
OG0000031	68	68
OG0000032	67	67
OG0000033	66	66
OG0000034	64	64
OG0000035	65	65
OG0000036	64	64
OG0000037	64	64
OG0000038	64	64
OG0000039	62	62
OG0000040	63	63
OG0000041	62	62
OG0000042	61	61
OG0000043	58	58
OG0000044	59	59
OG0000045	59	59
OG0000046	57	57
OG0000047	58	58
OG0000048	57	57
OG0000049	57	57
OG0000050	55	55
OG0000051	54	54
OG0000052	55	55
OG0000053	55	55
OG0000054	54	54
OG0000055	54	54
OG0000056	53	53
OG0000057	54	54
OG0000058	53	53
OG0000059	51	51
OG0000060	53	53
OG0000061	53	53
OG0000062	52	52
OG0000063	52	52
OG0000064	52	52
OG0000065	51	51
OG0000066	51	51
OG0000067	50	50
OG0000068	50	50
OG0000069	50	50
OG0000070	49	49
OG0000071	49	49
OG0000072	49	49
OG0000073	48	48
OG0000074	47	47
OG0000075	46	46
OG0000076	47	47
OG0000077	45	45
OG0000078	46	46
OG0000079	45	45
OG0000080	46	46
OG0000081	46	46
OG0000082	45	45
OG0000083	44	44
OG0000084	44	44
OG0000085	45	45
OG0000086	45	45
OG0000087	44	44
OG0000088	44	44
OG0000089	44	44
OG0000090	44	44
OG0000091	44	44
OG0000092	44	44
OG0000093	44	44
OG0000094	44	44
OG0000095	43	43
OG0000096	42	42
OG0000097	43	43
OG0000098	43	43
OG0000099	43	43
OG0000100	43	43
OG0000101	42	42
OG0000102	42	42
OG0000103	42	42
OG0000104	42	42
OG0000105	41	41
OG0000106	41	41
OG0000107	41	41
OG0000108	41	41
OG0000109	40	40
OG0000110	40	40
OG0000111	40	40
OG0000112	40	40
OG0000113	40	40
OG0000114	40	40
OG0000115	40	40
OG0000116	40	40
OG0000117	40	40
OG0000118	40	40
OG0000119	40	40
OG0000120	39	39
OG0000121	39	39
OG0000122	39	39
OG0000123	38	38
OG0000124	39	39
OG0000125	39	39
OG0000126	38	38
OG0000127	39	39
OG0000128	38	38
OG0000129	37	37
OG0000130	38	38
OG0000131	38	38
OG0000132	37	37
OG0000133	38	38
OG0000134	38	38
OG0000135	38	38
OG0000136	38	38
OG0000137	36	36
OG0000138	37	37
OG0000139	37	37
OG0000140	37	37
OG0000141	37	37
OG0000142	36	36
OG0000143	37	37
OG0000144	37	37
OG0000145	36	36
OG0000146	37	37
OG0000147	37	37
OG0000148	37	37
OG0000149	36	36
OG0000150	37	37
OG0000151	37	37
OG0000152	35	35
OG0000153	36	36
OG0000154	35	35
OG0000155	36	36
OG0000156	36	36
OG0000157	36	36
OG0000158	36	36
OG0000159	36	36
OG0000160	36	36
OG0000161	36	36
OG0000162	35	35
OG0000163	36	36
OG0000164	36	36
OG0000165	36	36
OG0000166	36	36
OG0000167	35	35
OG0000168	34	34
OG0000169	35	35
OG0000170	35	35
OG0000171	35	35
OG0000172	33	33
OG0000173	35	35
OG0000174	35	35
OG0000175	34	34
OG0000176	35	35
OG0000177	34	34
OG0000178	34	34
OG0000179	34	34
OG0000180	34	34
OG0000181	34	34
OG0000182	34	34
OG0000183	34	34
OG0000184	34	34
OG0000185	34	34
OG0000186	34	34
OG0000187	34	34
OG0000188	34	34
OG0000189	33	33
OG0000190	33	33
OG0000191	33	33
OG0000192	33	33
OG0000193	33	33
OG0000194	33	33
OG0000195	33	33
OG0000196	33	33
OG0000197	33	33
OG0000198	33	33
OG0000199	33	33
OG0000200	33	33
OG0000201	33	33
OG0000202	33	33
OG0000203	32	32
OG0000204	32	32
OG0000205	32	32
OG0000206	31	31
OG0000207	32	32
OG0000208	31	31
OG0000209	32	32
OG0000210	32	32
OG0000211	32	32
OG0000212	32	32
OG0000213	32	32
OG0000214	31	31
OG0000215	31	31
OG0000216	32	32
