Sample	Replicate	Species	Treatment	TimePoint	Time	PLUG_ID	Read1	Read2
Pacuta_ATAC_TP1	Pacuta_ATAC_TP1_1043	Pacuta	ATAC	1	0	1043	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_1043_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_1043_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP1	Pacuta_ATAC_TP1_1775	Pacuta	ATAC	1	0	1775	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_1775_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_1775_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP1	Pacuta_ATAC_TP1_2363	Pacuta	ATAC	1	0	2363	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_2363_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP1_2363_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP3	Pacuta_ATAC_TP3_1041	Pacuta	ATAC	3	0.25	1041	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1041_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1041_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP3	Pacuta_ATAC_TP3_1471	Pacuta	ATAC	3	0.25	1471	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1471_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1471_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP3	Pacuta_ATAC_TP3_1637	Pacuta	ATAC	3	0.25	1637	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1637_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP3_1637_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP4	Pacuta_ATAC_TP4_1060	Pacuta	ATAC	4	0.5	1060	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_1060_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_1060_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP4	Pacuta_ATAC_TP4_1762	Pacuta	ATAC	4	0.5	1762	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_1762_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_1762_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP4	Pacuta_ATAC_TP4_2002	Pacuta	ATAC	4	0.5	2002	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_2002_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP4_2002_R2_TrimmingRound2.fastq.gz
Pacuta_ATAC_TP5	Pacuta_ATAC_TP5_1059	Pacuta	ATAC	5	1.25	1059	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP5_1059_R1_TrimmingRound2.fastq.gz	/scratch/timothy/TranscriptomeAnalysis_Mcapitata_Pacuta_TimeSeriesDE/RNA_Seq_data/trimming_cutadapt/Pacuta_ATAC_TP5_1059_R2_TrimmingRound2.fastq.gz
