Orthogroup	Mcap.protein	Pocillopora_acuta_PredGenes_experimental_v1.transcripts.pep
OG0023177	Montipora_capitata_PredGene_adi2mcaRNA10016_R5	
OG0023178	Montipora_capitata_PredGene_adi2mcaRNA1009_R0	
OG0023179	Montipora_capitata_PredGene_adi2mcaRNA10211_R5	
OG0023180	Montipora_capitata_PredGene_adi2mcaRNA10406_R0	
OG0023181	Montipora_capitata_PredGene_adi2mcaRNA10443_R0	
OG0023182	Montipora_capitata_PredGene_adi2mcaRNA10446_R5	
OG0023183	Montipora_capitata_PredGene_adi2mcaRNA10505_R0	
OG0023184	Montipora_capitata_PredGene_adi2mcaRNA10557_R0	
OG0023185	Montipora_capitata_PredGene_adi2mcaRNA10569_R2	
OG0023186	Montipora_capitata_PredGene_adi2mcaRNA10676_R0	
OG0023187	Montipora_capitata_PredGene_adi2mcaRNA106_R0	
OG0023188	Montipora_capitata_PredGene_adi2mcaRNA10726_R3	
OG0023189	Montipora_capitata_PredGene_adi2mcaRNA10726_R7	
OG0023190	Montipora_capitata_PredGene_adi2mcaRNA1077_R0	
OG0023191	Montipora_capitata_PredGene_adi2mcaRNA10784_R2	
OG0023192	Montipora_capitata_PredGene_adi2mcaRNA10800_R1	
OG0023193	Montipora_capitata_PredGene_adi2mcaRNA10914_R0	
OG0023194	Montipora_capitata_PredGene_adi2mcaRNA10923_R0	
OG0023195	Montipora_capitata_PredGene_adi2mcaRNA10972_R4	
OG0023196	Montipora_capitata_PredGene_adi2mcaRNA10972_R9	
OG0023197	Montipora_capitata_PredGene_adi2mcaRNA10974_R4	
OG0023198	Montipora_capitata_PredGene_adi2mcaRNA10975_R9	
OG0023199	Montipora_capitata_PredGene_adi2mcaRNA11044_R1	
OG0023200	Montipora_capitata_PredGene_adi2mcaRNA11052_R0	
OG0023201	Montipora_capitata_PredGene_adi2mcaRNA11077_R1	
OG0023202	Montipora_capitata_PredGene_adi2mcaRNA11162_R1	
OG0023203	Montipora_capitata_PredGene_adi2mcaRNA11166_R0	
OG0023204	Montipora_capitata_PredGene_adi2mcaRNA11238_R1	
OG0023205	Montipora_capitata_PredGene_adi2mcaRNA11287_R1	
OG0023206	Montipora_capitata_PredGene_adi2mcaRNA11548_R0	
OG0023207	Montipora_capitata_PredGene_adi2mcaRNA1166_R3	
OG0023208	Montipora_capitata_PredGene_adi2mcaRNA11787_R1	
OG0023209	Montipora_capitata_PredGene_adi2mcaRNA11812_R1	
OG0023210	Montipora_capitata_PredGene_adi2mcaRNA11816_R4	
OG0023211	Montipora_capitata_PredGene_adi2mcaRNA11876_R0	
OG0023212	Montipora_capitata_PredGene_adi2mcaRNA11876_R3	
OG0023213	Montipora_capitata_PredGene_adi2mcaRNA11876_R4	
OG0023214	Montipora_capitata_PredGene_adi2mcaRNA11889_R1	
OG0023215	Montipora_capitata_PredGene_adi2mcaRNA12036_R0	
OG0023216	Montipora_capitata_PredGene_adi2mcaRNA12046_R0	
OG0023217	Montipora_capitata_PredGene_adi2mcaRNA12121_R1	
OG0023218	Montipora_capitata_PredGene_adi2mcaRNA12162_R1	
OG0023219	Montipora_capitata_PredGene_adi2mcaRNA12219_R0	
OG0023220	Montipora_capitata_PredGene_adi2mcaRNA12219_R1	
OG0023221	Montipora_capitata_PredGene_adi2mcaRNA12272_R0	
OG0023222	Montipora_capitata_PredGene_adi2mcaRNA12344_R0	
OG0023223	Montipora_capitata_PredGene_adi2mcaRNA12387_R3	
OG0023224	Montipora_capitata_PredGene_adi2mcaRNA12392_R0	
OG0023225	Montipora_capitata_PredGene_adi2mcaRNA12420_R3	
OG0023226	Montipora_capitata_PredGene_adi2mcaRNA1250_R1	
OG0023227	Montipora_capitata_PredGene_adi2mcaRNA12580_R0	
OG0023228	Montipora_capitata_PredGene_adi2mcaRNA12611_R0	
OG0023229	Montipora_capitata_PredGene_adi2mcaRNA12676_R1	
OG0023230	Montipora_capitata_PredGene_adi2mcaRNA12677_R0	
OG0023231	Montipora_capitata_PredGene_adi2mcaRNA12754_R0	
OG0023232	Montipora_capitata_PredGene_adi2mcaRNA12756_R0	
OG0023233	Montipora_capitata_PredGene_adi2mcaRNA12756_R2	
OG0023234	Montipora_capitata_PredGene_adi2mcaRNA12933_R1	
OG0023235	Montipora_capitata_PredGene_adi2mcaRNA12942_R0	
OG0023236	Montipora_capitata_PredGene_adi2mcaRNA12954_R0	
OG0023237	Montipora_capitata_PredGene_adi2mcaRNA12954_R1	
OG0023238	Montipora_capitata_PredGene_adi2mcaRNA12954_R8	
OG0023239	Montipora_capitata_PredGene_adi2mcaRNA12_R8	
OG0023240	Montipora_capitata_PredGene_adi2mcaRNA13045_R0	
OG0023241	Montipora_capitata_PredGene_adi2mcaRNA13141_R1	
OG0023242	Montipora_capitata_PredGene_adi2mcaRNA13228_R0	
OG0023243	Montipora_capitata_PredGene_adi2mcaRNA13238_R0	
OG0023244	Montipora_capitata_PredGene_adi2mcaRNA13338_R0	
OG0023245	Montipora_capitata_PredGene_adi2mcaRNA13430_R0	
OG0023246	Montipora_capitata_PredGene_adi2mcaRNA13473_R1	
OG0023247	Montipora_capitata_PredGene_adi2mcaRNA13580_R0	
OG0023248	Montipora_capitata_PredGene_adi2mcaRNA13589_R0	
OG0023249	Montipora_capitata_PredGene_adi2mcaRNA13659_R9	
OG0023250	Montipora_capitata_PredGene_adi2mcaRNA13672_R2	
OG0023251	Montipora_capitata_PredGene_adi2mcaRNA13672_R3	
OG0023252	Montipora_capitata_PredGene_adi2mcaRNA13719_R1	
OG0023253	Montipora_capitata_PredGene_adi2mcaRNA13751_R1	
OG0023254	Montipora_capitata_PredGene_adi2mcaRNA13791_R1	
OG0023255	Montipora_capitata_PredGene_adi2mcaRNA1380_R0	
OG0023256	Montipora_capitata_PredGene_adi2mcaRNA13821_R0	
OG0023257	Montipora_capitata_PredGene_adi2mcaRNA13821_R3	
OG0023258	Montipora_capitata_PredGene_adi2mcaRNA13854_R2	
OG0023259	Montipora_capitata_PredGene_adi2mcaRNA13868_R0	
OG0023260	Montipora_capitata_PredGene_adi2mcaRNA14362_R4	
OG0023261	Montipora_capitata_PredGene_adi2mcaRNA1446_R1	
OG0023262	Montipora_capitata_PredGene_adi2mcaRNA14492_R4	
OG0023263	Montipora_capitata_PredGene_adi2mcaRNA14618_R7	
OG0023264	Montipora_capitata_PredGene_adi2mcaRNA14686_R0	
OG0023265	Montipora_capitata_PredGene_adi2mcaRNA15104_R1	
OG0023266	Montipora_capitata_PredGene_adi2mcaRNA15198_R4	
OG0023267	Montipora_capitata_PredGene_adi2mcaRNA15211_R6	
OG0023268	Montipora_capitata_PredGene_adi2mcaRNA15277_R2	
OG0023269	Montipora_capitata_PredGene_adi2mcaRNA15277_R8	
OG0023270	Montipora_capitata_PredGene_adi2mcaRNA15278_R2	
OG0023271	Montipora_capitata_PredGene_adi2mcaRNA15282_R0	
OG0023272	Montipora_capitata_PredGene_adi2mcaRNA1544_R1	
OG0023273	Montipora_capitata_PredGene_adi2mcaRNA15478_R0	
OG0023274	Montipora_capitata_PredGene_adi2mcaRNA15479_R0	
OG0023275	Montipora_capitata_PredGene_adi2mcaRNA15602_R0	
OG0023276	Montipora_capitata_PredGene_adi2mcaRNA15624_R0	
OG0023277	Montipora_capitata_PredGene_adi2mcaRNA15625_R0	
OG0023278	Montipora_capitata_PredGene_adi2mcaRNA15662_R7	
OG0023279	Montipora_capitata_PredGene_adi2mcaRNA15672_R0	
OG0023280	Montipora_capitata_PredGene_adi2mcaRNA15683_R0	
OG0023281	Montipora_capitata_PredGene_adi2mcaRNA1588_R0	
OG0023282	Montipora_capitata_PredGene_adi2mcaRNA15979_R7	
OG0023283	Montipora_capitata_PredGene_adi2mcaRNA1606_R1	
OG0023284	Montipora_capitata_PredGene_adi2mcaRNA16122_R0	
OG0023285	Montipora_capitata_PredGene_adi2mcaRNA16122_R3	
OG0023286	Montipora_capitata_PredGene_adi2mcaRNA16138_R4	
OG0023287	Montipora_capitata_PredGene_adi2mcaRNA16138_R9	
OG0023288	Montipora_capitata_PredGene_adi2mcaRNA16153_R1	
OG0023289	Montipora_capitata_PredGene_adi2mcaRNA16418_R0	
OG0023290	Montipora_capitata_PredGene_adi2mcaRNA16448_R1	
OG0023291	Montipora_capitata_PredGene_adi2mcaRNA16509_R1	
OG0023292	Montipora_capitata_PredGene_adi2mcaRNA16516_R0	
OG0023293	Montipora_capitata_PredGene_adi2mcaRNA16562_R1	
OG0023294	Montipora_capitata_PredGene_adi2mcaRNA16562_R8	
OG0023295	Montipora_capitata_PredGene_adi2mcaRNA16590_R5	
OG0023296	Montipora_capitata_PredGene_adi2mcaRNA16606_R2	
OG0023297	Montipora_capitata_PredGene_adi2mcaRNA16608_R4	
OG0023298	Montipora_capitata_PredGene_adi2mcaRNA16631_R3	
OG0023299	Montipora_capitata_PredGene_adi2mcaRNA16631_R6	
OG0023300	Montipora_capitata_PredGene_adi2mcaRNA16632_R0	
OG0023301	Montipora_capitata_PredGene_adi2mcaRNA16632_R6	
OG0023302	Montipora_capitata_PredGene_adi2mcaRNA16632_R7	
OG0023303	Montipora_capitata_PredGene_adi2mcaRNA16846_R2	
OG0023304	Montipora_capitata_PredGene_adi2mcaRNA16897_R3	
OG0023305	Montipora_capitata_PredGene_adi2mcaRNA1691_R1	
OG0023306	Montipora_capitata_PredGene_adi2mcaRNA1706_R5	
OG0023307	Montipora_capitata_PredGene_adi2mcaRNA17078_R1	
OG0023308	Montipora_capitata_PredGene_adi2mcaRNA17081_R1	
OG0023309	Montipora_capitata_PredGene_adi2mcaRNA17128_R1	
OG0023310	Montipora_capitata_PredGene_adi2mcaRNA17129_R0	
OG0023311	Montipora_capitata_PredGene_adi2mcaRNA17299_R4	
