Orthogroup	Mcap.protein	Pocillopora_acuta_PredGenes_experimental_v1.transcripts.pep	Total
OG0000000	222	0	222
OG0000001	142	1	143
OG0000002	133	0	133
OG0000003	133	0	133
OG0000004	131	0	131
OG0000005	128	0	128
OG0000006	125	1	126
OG0000007	116	0	116
OG0000008	115	0	115
OG0000009	113	1	114
OG0000010	104	0	104
OG0000011	96	1	97
OG0000012	95	0	95
OG0000013	91	0	91
OG0000014	91	0	91
OG0000015	88	2	90
OG0000016	1	85	86
OG0000017	83	0	83
OG0000018	80	1	81
OG0000019	81	0	81
OG0000020	79	1	80
OG0000021	78	0	78
OG0000022	77	0	77
OG0000023	74	1	75
OG0000024	75	0	75
OG0000025	73	0	73
OG0000026	73	0	73
OG0000027	71	0	71
OG0000028	70	1	71
OG0000029	70	0	70
OG0000030	0	70	70
OG0000031	69	0	69
OG0000032	68	0	68
OG0000033	67	0	67
OG0000034	65	2	67
OG0000035	66	0	66
OG0000036	65	1	66
OG0000037	65	0	65
OG0000038	65	0	65
OG0000039	63	1	64
OG0000040	64	0	64
OG0000041	63	0	63
OG0000042	62	0	62
OG0000043	59	3	62
OG0000044	1	60	61
OG0000045	60	0	60
OG0000046	58	1	59
OG0000047	0	59	59
OG0000048	58	0	58
OG0000049	58	0	58
OG0000050	56	0	56
OG0000051	55	1	56
OG0000052	56	0	56
OG0000053	56	0	56
OG0000054	55	0	55
OG0000055	55	0	55
OG0000056	54	1	55
OG0000057	55	0	55
OG0000058	54	0	54
OG0000059	52	2	54
OG0000060	54	0	54
OG0000061	54	0	54
OG0000062	53	0	53
OG0000063	53	0	53
OG0000064	53	0	53
OG0000065	52	0	52
OG0000066	52	0	52
OG0000067	51	1	52
OG0000068	51	0	51
OG0000069	51	0	51
OG0000070	50	0	50
OG0000071	50	0	50
OG0000072	50	0	50
OG0000073	49	0	49
OG0000074	48	1	49
OG0000075	47	1	48
OG0000076	48	0	48
OG0000077	3	45	48
OG0000078	47	0	47
OG0000079	46	1	47
OG0000080	47	0	47
OG0000081	47	0	47
OG0000082	46	0	46
OG0000083	2	44	46
OG0000084	45	1	46
OG0000085	46	0	46
OG0000086	46	0	46
OG0000087	45	0	45
OG0000088	45	0	45
OG0000089	45	0	45
OG0000090	45	0	45
OG0000091	45	0	45
OG0000092	45	0	45
OG0000093	45	0	45
OG0000094	45	0	45
OG0000095	44	0	44
OG0000096	43	1	44
OG0000097	44	0	44
OG0000098	44	0	44
OG0000099	44	0	44
OG0000100	44	0	44
OG0000101	43	0	43
OG0000102	43	0	43
OG0000103	43	0	43
OG0000104	43	0	43
OG0000105	42	0	42
OG0000106	42	0	42
OG0000107	42	0	42
OG0000108	42	0	42
OG0000109	41	0	41
OG0000110	41	0	41
OG0000111	41	0	41
OG0000112	41	0	41
OG0000113	41	0	41
OG0000114	41	0	41
OG0000115	41	0	41
OG0000116	41	0	41
OG0000117	41	0	41
OG0000118	41	0	41
OG0000119	41	0	41
OG0000120	1	40	41
OG0000121	40	0	40
OG0000122	40	0	40
OG0000123	39	1	40
OG0000124	40	0	40
OG0000125	40	0	40
OG0000126	39	1	40
OG0000127	40	0	40
OG0000128	39	0	39
OG0000129	1	38	39
OG0000130	39	0	39
OG0000131	39	0	39
OG0000132	38	1	39
OG0000133	39	0	39
OG0000134	39	0	39
OG0000135	39	0	39
OG0000136	39	0	39
OG0000137	37	1	38
OG0000138	38	0	38
OG0000139	38	0	38
OG0000140	38	0	38
OG0000141	38	0	38
OG0000142	37	1	38
OG0000143	38	0	38
OG0000144	38	0	38
OG0000145	37	1	38
OG0000146	38	0	38
OG0000147	38	0	38
OG0000148	38	0	38
OG0000149	37	1	38
OG0000150	38	0	38
OG0000151	38	0	38
OG0000152	36	1	37
OG0000153	37	0	37
OG0000154	36	1	37
OG0000155	37	0	37
OG0000156	37	0	37
OG0000157	37	0	37
OG0000158	37	0	37
OG0000159	37	0	37
OG0000160	37	0	37
OG0000161	37	0	37
OG0000162	36	1	37
OG0000163	37	0	37
OG0000164	37	0	37
OG0000165	0	37	37
OG0000166	0	37	37
OG0000167	36	0	36
OG0000168	35	1	36
OG0000169	36	0	36
OG0000170	36	0	36
OG0000171	36	0	36
OG0000172	34	2	36
OG0000173	36	0	36
OG0000174	36	0	36
OG0000175	30	6	36
OG0000176	0	36	36
OG0000177	35	0	35
OG0000178	35	0	35
OG0000179	35	0	35
OG0000180	35	0	35
OG0000181	35	0	35
OG0000182	35	0	35
OG0000183	35	0	35
OG0000184	35	0	35
OG0000185	35	0	35
OG0000186	0	35	35
OG0000187	0	35	35
OG0000188	0	35	35
OG0000189	34	0	34
OG0000190	34	0	34
OG0000191	34	0	34
OG0000192	34	0	34
OG0000193	34	0	34
OG0000194	34	0	34
OG0000195	34	0	34
OG0000196	34	0	34
OG0000197	34	0	34
OG0000198	34	0	34
OG0000199	34	0	34
OG0000200	34	0	34
OG0000201	34	0	34
OG0000202	0	34	34
OG0000203	33	0	33
OG0000204	33	0	33
OG0000205	33	0	33
OG0000206	32	1	33
OG0000207	33	0	33
OG0000208	32	1	33
OG0000209	33	0	33
OG0000210	33	0	33
OG0000211	33	0	33
OG0000212	33	0	33
OG0000213	33	0	33
OG0000214	32	1	33
OG0000215	32	1	33
OG0000216	0	33	33
OG0000217	0	33	33
OG0000218	32	0	32
OG0000219	32	0	32
OG0000220	32	0	32
OG0000221	32	0	32
OG0000222	32	0	32
OG0000223	1	31	32
OG0000224	0	32	32
OG0000225	31	0	31
OG0000226	30	1	31
OG0000227	31	0	31
OG0000228	30	1	31
OG0000229	31	0	31
OG0000230	30	1	31
OG0000231	31	0	31
OG0000232	31	0	31
OG0000233	31	0	31
OG0000234	31	0	31
OG0000235	0	31	31
OG0000236	0	31	31
OG0000237	29	1	30
OG0000238	30	0	30
OG0000239	30	0	30
OG0000240	29	1	30
OG0000241	29	1	30
OG0000242	30	0	30
OG0000243	30	0	30
OG0000244	30	0	30
OG0000245	30	0	30
OG0000246	30	0	30
OG0000247	30	0	30
OG0000248	1	29	30
OG0000249	0	30	30
OG0000250	0	30	30
OG0000251	29	0	29
OG0000252	28	1	29
OG0000253	29	0	29
